Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum,LLM_Fallback
1,1,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,1,X,2,"['X', ' ', 'X', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.3,False
1,1,X,7,"['X', ' ', 'X', ' ', ' ', 'O', ' ', 'X', 'O']",1.0,1.3,False
1,1,X,3,"['X', 'O', 'X', 'X', ' ', 'O', ' ', 'X', 'O']",1.0,2.3,False
1,1,X,6,"['X', 'O', 'X', 'X', 'O', 'O', 'X', 'X', 'O']",0.3,2.5999999999999996,False
1,2,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,2,O,7,"['O', ' ', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",0.3,0.6,False
1,2,O,5,"['O', ' ', ' ', ' ', 'X', 'O', 'X', 'O', ' ']",0.3,0.8999999999999999,False
1,2,O,1,"['O', 'O', ' ', 'X', 'X', 'O', 'X', 'O', ' ']",1.0,1.9,False
1,3,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,3,X,8,"['X', ' ', ' ', ' ', ' ', 'O', ' ', ' ', 'X']",0.3,0.6,False
1,3,X,6,"['X', ' ', ' ', 'O', ' ', 'O', 'X', ' ', 'X']",0.0,0.6,False
1,3,X,4,"['X', 'O', ' ', 'O', 'X', 'O', 'X', ' ', 'X']",0.0,0.6,False
1,4,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,4,O,4,"['O', ' ', ' ', ' ', 'O', ' ', ' ', ' ', 'X']",0.3,0.6,False
1,4,O,7,"['O', 'X', ' ', ' ', 'O', ' ', ' ', 'O', 'X']",0.0,0.6,False
1,4,O,6,"['O', 'X', ' ', ' ', 'O', 'X', 'O', 'O', 'X']",1.0,1.6,False
1,5,X,3,"[' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,5,X,8,"[' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ', 'X']",0.3,0.6,False
1,5,X,6,"[' ', 'O', ' ', 'X', ' ', 'O', 'X', ' ', 'X']",1.0,1.6,False
1,5,X,2,"[' ', 'O', 'X', 'X', 'O', 'O', 'X', ' ', 'X']",0.3,1.9000000000000001,False
1,5,X,7,"['O', 'O', 'X', 'X', 'O', 'O', 'X', 'X', 'X']",1.0,2.9000000000000004,False
1,6,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,6,O,2,"['O', ' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,6,O,6,"['O', ' ', 'O', 'X', 'X', ' ', 'O', ' ', ' ']",0.0,0.3,False
1,7,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,7,X,8,"['X', ' ', ' ', ' ', 'O', ' ', ' ', ' ', 'X']",0.3,0.3,False
1,7,X,1,"['X', 'X', ' ', 'O', 'O', ' ', ' ', ' ', 'X']",1.0,1.3,False
1,8,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,8,O,7,"['O', ' ', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",-1.0,-0.7,False
1,8,O,3,"['O', ' ', ' ', 'O', 'X', ' ', ' ', 'O', 'X']",0.3,-0.39999999999999997,False
1,8,O,6,"['O', ' ', 'X', 'O', 'X', ' ', 'O', 'O', 'X']",0.0,-0.39999999999999997,False
1,9,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,9,X,2,"['X', ' ', 'X', ' ', ' ', ' ', ' ', 'O', ' ']",0.0,0.3,False
1,9,X,1,"['X', 'X', 'X', ' ', ' ', ' ', 'O', 'O', ' ']",1.0,1.3,False
1,10,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,10,O,2,"['O', ' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ']",0.3,0.6,False
1,10,O,6,"['O', ' ', 'O', 'X', ' ', ' ', 'O', 'X', ' ']",0.3,0.8999999999999999,False
1,10,O,5,"['O', ' ', 'O', 'X', ' ', 'O', 'O', 'X', 'X']",0.3,1.2,False
1,10,O,4,"['O', 'X', 'O', 'X', 'O', 'O', 'O', 'X', 'X']",0.3,1.5,False
1,11,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,11,X,4,"['X', ' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ']",0.0,0.3,False
1,11,X,5,"['X', ' ', 'O', ' ', 'X', 'X', 'O', ' ', ' ']",0.3,0.6,False
1,11,X,1,"['X', 'X', 'O', 'O', 'X', 'X', 'O', ' ', ' ']",1.0,1.6,False
1,11,X,7,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'X', 'O']",0.3,1.9000000000000001,False
1,12,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,12,O,5,"['O', 'X', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.3,0.6,False
1,12,O,6,"['O', 'X', 'X', ' ', ' ', 'O', 'O', ' ', ' ']",0.0,0.6,False
1,12,O,3,"['O', 'X', 'X', 'O', ' ', 'O', 'O', 'X', ' ']",0.3,0.8999999999999999,False
1,13,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,13,X,8,"['X', ' ', 'O', ' ', ' ', ' ', ' ', ' ', 'X']",0.3,0.6,False
