Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum,LLM_Fallback
1,1,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,1,X,2,"['X', ' ', 'X', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0,False
1,1,X,7,"['X', ' ', 'X', ' ', ' ', 'O', ' ', 'X', 'O']",0.0,0.0,False
1,1,X,3,"['X', 'O', 'X', 'X', ' ', 'O', ' ', 'X', 'O']",0.0,0.0,False
1,1,X,6,"['X', 'O', 'X', 'X', 'O', 'O', 'X', 'X', 'O']",0.0,0.0,False
1,2,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,2,O,7,"['O', ' ', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",0.0,0.0,False
1,2,O,5,"['O', ' ', ' ', ' ', 'X', 'O', 'X', 'O', ' ']",0.3,0.3,False
1,2,O,1,"['O', 'O', ' ', 'X', 'X', 'O', 'X', 'O', ' ']",0.0,0.3,False
1,3,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0,False
1,3,X,8,"[' ', ' ', ' ', ' ', 'O', 'X', ' ', ' ', 'X']",0.0,0.0,False
1,3,X,6,"[' ', ' ', 'O', ' ', 'O', 'X', 'X', ' ', 'X']",0.3,0.3,False
1,3,X,3,"['O', ' ', 'O', 'X', 'O', 'X', 'X', ' ', 'X']",-1.0,-0.7,False
1,3,X,1,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']",0.0,-0.7,False
1,4,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0,False
1,4,O,8,"[' ', 'X', ' ', ' ', ' ', ' ', 'O', ' ', 'O']",0.0,0.0,False
1,4,O,3,"[' ', 'X', ' ', 'O', ' ', ' ', 'O', 'X', 'O']",0.0,0.0,False
1,4,O,0,"['O', 'X', 'X', 'O', ' ', ' ', 'O', 'X', 'O']",-1.0,-1.0,False
1,5,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,5,X,8,"[' ', 'O', ' ', ' ', 'X', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,5,X,6,"['O', 'O', ' ', ' ', 'X', ' ', 'X', ' ', 'X']",0.3,0.3,False
1,5,X,3,"['O', 'O', ' ', 'X', 'X', 'O', 'X', ' ', 'X']",-1.0,-0.7,False
1,6,O,1,"[' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,6,O,2,"[' ', 'O', 'O', 'X', ' ', ' ', ' ', ' ', ' ']",0.3,0.3,False
1,6,O,6,"[' ', 'O', 'O', 'X', 'X', ' ', 'O', ' ', ' ']",0.3,0.6,False
1,7,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,7,X,8,"['X', ' ', ' ', ' ', 'O', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,7,X,1,"['X', 'X', ' ', 'O', 'O', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,8,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0,False
1,8,O,4,"[' ', ' ', ' ', 'X', 'O', 'O', ' ', ' ', ' ']",0.3,0.3,False
1,8,O,2,"[' ', ' ', 'O', 'X', 'O', 'O', ' ', ' ', 'X']",0.3,0.6,False
1,8,O,7,"[' ', 'X', 'O', 'X', 'O', 'O', ' ', 'O', 'X']",-1.0,-0.4,False
1,8,O,0,"['O', 'X', 'O', 'X', 'O', 'O', 'X', 'O', 'X']",0.0,-0.4,False
1,9,X,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ']",0.0,0.0,False
1,9,X,1,"[' ', 'X', ' ', ' ', ' ', 'O', 'X', ' ', ' ']",0.0,0.0,False
1,9,X,0,"['X', 'X', ' ', ' ', ' ', 'O', 'X', 'O', ' ']",0.0,0.0,False
1,9,X,3,"['X', 'X', 'O', 'X', ' ', 'O', 'X', 'O', ' ']",0.0,0.0,False
1,10,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0,False
1,10,O,5,"[' ', 'X', ' ', ' ', ' ', 'O', 'O', ' ', ' ']",0.0,0.0,False
1,10,O,8,"[' ', 'X', ' ', ' ', 'X', 'O', 'O', ' ', 'O']",0.0,0.0,False
1,10,O,2,"['X', 'X', 'O', ' ', 'X', 'O', 'O', ' ', 'O']",-1.0,-1.0,False
1,11,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,11,X,2,"[' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,11,X,3,"['O', ' ', 'X', 'X', 'O', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,11,X,6,"['O', ' ', 'X', 'X', 'O', ' ', 'X', 'O', 'X']",-1.0,-1.0,False
1,11,X,1,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']",0.0,-1.0,False
1,12,O,1,"[' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,12,O,6,"[' ', 'O', ' ', ' ', ' ', 'X', 'O', ' ', ' ']",0.0,0.0,False
1,12,O,3,"[' ', 'O', ' ', 'O', ' ', 'X', 'O', 'X', ' ']",0.3,0.3,False
1,12,O,8,"[' ', 'O', 'X', 'O', ' ', 'X', 'O', 'X', 'O']",1.0,1.3,False
1,12,O,4,"['X', 'O', 'X', 'O', 'O', 'X', 'O', 'X', 'O']",0.0,1.3,False
1,13,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0,False
1,13,X,1,"[' ', 'X', ' ', ' ', 'O', 'X', ' ', ' ', ' ']",0.0,0.0,False
1,13,X,0,"['X', 'X', ' ', ' ', 'O', 'X', ' ', 'O', ' ']",0.0,0.0,False
1,13,X,6,"['X', 'X', ' ', ' ', 'O', 'X', 'X', 'O', 'O']",0.0,0.0,False
1,13,X,3,"['X', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'O']",0.0,0.0,False
1,14,O,2,"[' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,14,O,6,"[' ', ' ', 'O', ' ', ' ', 'X', 'O', ' ', ' ']",0.0,0.0,False
1,14,O,8,"[' ', ' ', 'O', ' ', 'X', 'X', 'O', ' ', 'O']",0.3,0.3,False
1,14,O,3,"[' ', 'X', 'O', 'O', 'X', 'X', 'O', ' ', 'O']",-1.0,-0.7,False
1,15,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,15,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', 'O', 'X']",0.0,0.0,False
1,15,X,6,"['O', 'X', ' ', ' ', ' ', ' ', 'X', 'O', 'X']",0.0,0.0,False
1,15,X,2,"['O', 'X', 'X', 'O', ' ', ' ', 'X', 'O', 'X']",0.0,0.0,False
1,15,X,5,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']",0.0,0.0,False
1,16,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,16,O,2,"['O', ' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ']",0.0,0.0,False
1,16,O,3,"['O', ' ', 'O', 'O', 'X', ' ', 'X', ' ', ' ']",0.3,0.3,False
1,16,O,8,"['O', ' ', 'O', 'O', 'X', 'X', 'X', ' ', 'O']",0.0,0.3,False
1,16,O,1,"['O', 'O', 'O', 'O', 'X', 'X', 'X', 'X', 'O']",1.0,1.3,False
1,17,X,3,"[' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,False
1,17,X,5,"[' ', 'O', ' ', 'X', ' ', 'X', ' ', ' ', ' ']",0.0,0.0,False
1,17,X,7,"[' ', 'O', ' ', 'X', 'O', 'X', ' ', 'X', ' ']",0.3,0.3,False
1,17,X,8,"['O', 'O', ' ', 'X', 'O', 'X', ' ', 'X', 'X']",0.0,0.3,False
1,18,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0,False
1,18,O,2,"[' ', 'X', 'O', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0,False
1,18,O,6,"[' ', 'X', 'O', ' ', ' ', 'O', 'O', 'X', ' ']",0.3,0.3,False
1,18,O,0,"['O', 'X', 'O', 'X', ' ', 'O', 'O', 'X', ' ']",0.0,0.3,False
1,19,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",0.0,0.0,False
1,19,X,5,"[' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ', 'X']",0.0,0.0,False
1,19,X,3,"['O', 'O', ' ', 'X', ' ', 'X', ' ', ' ', 'X']",-1.0,-1.0,False
1,19,X,6,"['O', 'O', ' ', 'X', 'O', 'X', 'X', ' ', 'X']",0.0,-1.0,False
